@relation R_data_frame-weka.filters.unsupervised.attribute.Remove-R20-weka.filters.unsupervised.instance.Resample-S1-Z100.0-weka.filters.unsupervised.attribute.Center

@attribute xP numeric
@attribute yP numeric
@attribute pacman_direction {North,South,East,West,Stop}
@attribute legal_north {true,false}
@attribute legal_south {true,false}
@attribute legal_east {true,false}
@attribute legal_west {true,false}
@attribute dist_g1 numeric
@attribute dist_g2 numeric
@attribute dist_g3 numeric
@attribute dist_g4 numeric
@attribute position_ghost1_x numeric
@attribute position_ghost1_y numeric
@attribute position_ghost2_x numeric
@attribute position_ghost2_y numeric
@attribute position_ghost3_x numeric
@attribute position_ghost3_y numeric
@attribute position_ghost4_x numeric
@attribute position_ghost4_y numeric
@attribute DIRECTION {North,South,East,West,Stop}

@data
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-2.986275,1.168627,North,true,true,false,true,-5.529412,-4.998039,-3.341176,-6.429412,-4.945098,-4.476471,-3.75098,-4.741176,-4.780392,1.976471,-4.935294,-6.65098,North
6.013725,-4.831373,South,true,true,false,false,10.470588,8.001961,5.658824,7.570588,9.054902,12.523529,8.24902,9.258824,5.219608,5.976471,1.064706,7.34902,North
-1.986275,-1.831373,North,true,true,false,false,-5.529412,-1.998039,-0.341176,0.570588,-4.945098,-4.476471,-1.75098,0.258824,0.219608,-4.023529,2.064706,-1.65098,North
2.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-2.341176,-1.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-7.986275,2.168627,South,true,true,false,false,3.470588,2.001961,0.658824,-1.429412,-1.945098,-2.476471,-2.75098,-0.741176,-3.780392,2.976471,-6.935294,2.34902,North
6.013725,-4.831373,South,true,true,false,false,6.470588,12.001961,8.658824,4.570588,8.054902,7.523529,4.24902,9.258824,3.219608,6.976471,3.064706,5.34902,North
-7.986275,-3.831373,South,true,false,true,false,-5.529412,-3.998039,4.658824,1.570588,-4.945098,-4.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,East
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
6.013725,-3.831373,North,false,true,true,false,9.470588,8.001961,5.658824,3.570588,4.054902,7.523529,7.24902,9.258824,4.219608,5.976471,4.064706,5.34902,East
-7.986275,3.168627,North,true,true,false,false,7.470588,7.001961,0.658824,1.570588,3.054902,-0.476471,3.24902,1.258824,-3.780392,1.976471,-6.935294,-0.65098,South
-7.986275,9.168627,South,true,true,true,false,7.470588,9.001961,5.658824,8.570588,-4.945098,-2.476471,-4.75098,-2.741176,-4.780392,1.976471,-5.935294,-1.65098,South
6.013725,-3.831373,North,false,true,true,false,5.470588,9.001961,6.658824,5.570588,8.054902,7.523529,6.24902,9.258824,4.219608,6.976471,4.064706,5.34902,South
6.013725,-3.831373,West,false,true,true,false,8.470588,8.001961,6.658824,3.570588,5.054902,7.523529,6.24902,8.258824,4.219608,6.976471,2.064706,5.34902,South
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
1.013725,-0.831373,West,false,false,true,true,-5.529412,-4.998039,-1.341176,-0.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,East
3.013725,-0.831373,East,false,false,true,true,-5.529412,-4.998039,-1.341176,-2.429412,-4.945098,-4.476471,-3.75098,-4.741176,1.219608,-4.023529,4.064706,-1.65098,West
-6.986275,-2.831373,East,false,true,true,true,-1.529412,3.001961,4.658824,9.570588,0.054902,-1.476471,1.24902,0.258824,1.219608,-4.023529,4.064706,-1.65098,East
-5.986275,-3.831373,East,true,false,true,true,-1.529412,2.001961,0.658824,8.570588,1.054902,-2.476471,0.24902,0.258824,-0.780392,-4.023529,3.064706,-1.65098,East
